Name,Year,Duration,Rating,Reviews
The Shawshank Redemption,1994,2h 22m,9.3,(3.1M)
The Godfather,1972,2h 55m,9.2,(2.2M)
The Dark Knight,2008,2h 32m,9.1,(3.1M)
The Godfather Part II,1974,3h 22m,9.0,(1.5M)
12 Angry Men,1957,1h 36m,9.0,(954K)
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,(2.1M)
Schindler's List,1993,3h 15m,9.0,(1.6M)
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,(2.2M)
Pulp Fiction,1994,2h 34m,8.8,(2.4M)
"The Good, the Bad and the Ugly",1966,2h 58m,8.8,(872K)
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,(1.9M)
Forrest Gump,1994,2h 22m,8.8,(2.4M)
Fight Club,1999,2h 19m,8.8,(2.5M)
Inception,2010,2h 28m,8.8,(2.7M)
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,(1.5M)
The Matrix,1999,2h 16m,8.7,(2.2M)
Goodfellas,1990,2h 25m,8.7,(1.4M)
Interstellar,2014,2h 49m,8.7,(2.4M)
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,(1.1M)
Se7en,1995,2h 7m,8.6,(2M)
It's a Wonderful Life,1946,2h 10m,8.6,(537K)
The Silence of the Lambs,1991,1h 58m,8.6,(1.7M)
Seven Samurai,1954,3h 27m,8.6,(392K)
Saving Private Ryan,1998,2h 49m,8.6,(1.6M)
The Green Mile,1999,3h 9m,8.6,(1.5M)
City of God,2002,2h 10m,8.6,(853K)
Life Is Beautiful,1997,1h 56m,8.6,(794K)
Terminator 2: Judgment Day,1991,2h 17m,8.6,(1.3M)
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,(1.5M)
Back to the Future,1985,1h 56m,8.5,(1.4M)
Spirited Away,2001,2h 4m,8.6,(937K)
The Pianist,2002,2h 30m,8.5,(989K)
Gladiator,2000,2h 35m,8.5,(1.8M)
Parasite,2019,2h 12m,8.5,(1.1M)
Psycho,1960,1h 49m,8.5,(769K)
The Lion King,1994,1h 28m,8.5,(1.2M)
Grave of the Fireflies,1988,1h 28m,8.5,(366K)
The Departed,2006,2h 31m,8.5,(1.5M)
Whiplash,2014,1h 46m,8.5,(1.1M)
Harakiri,1962,2h 13m,8.6,(84K)
The Prestige,2006,2h 10m,8.5,(1.5M)
American History X,1998,1h 59m,8.5,(1.3M)
Léon: The Professional,1994,1h 50m,8.5,(1.3M)
Spider-Man: Across the Spider-Verse,2023,2h 20m,8.5,(488K)
Casablanca,1942,1h 42m,8.5,(643K)
Cinema Paradiso,1988,2h 54m,8.5,(308K)
The Intouchables,2011,1h 52m,8.5,(1M)
The Usual Suspects,1995,1h 46m,8.5,(1.2M)
